将来、水素エネルギーは工場にどうやって供給されることになるのか？：製造業×脱炭素 インタビュー（1/2 ページ）	<コラム>,<利用・採用>,<生産活動>,<対談>	<技術>,<製品サービス>,<オピニオン>
球の全周に歯車…兼松・山形大が量産目指す「球状歯車」がスゴい ニュースイッチ by 日刊工業新聞社	<コラム>	<オピニオン>
新規事業の「事業性評価」に必要な6つの意思決定──机上で考えたペルソナを捨て、実在するユーザーを見る | Biz/Zine	<方針>,<見解>	<オピニオン>,<目標>
高温で蓄熱して低温で放熱、産総研がスゴい新合金開発 ニュースイッチ by 日刊工業新聞社	<技術開発>	<技術>
微生物で石油化学製品の代替品。カーボンニュートラルのカギを握る「バイオファウンドリ」とは？ ニュースイッチ by 日刊工業新聞社	<コラム>	<オピニオン>
トヨタとデンソーが実証する水素循環の仕組み ニュースイッチ by 日刊工業新聞社	<実験>,<レビュー>	<技術>,<レビュー>
太陽光発電がビルの窓と一体化する 次世代エネルギーの主役候補＝ペロブスカイト太陽電池 | 技術・研究開発 | 技術・研究開発 | 特集	<技術開発>,<研究>,<レビュー>	<技術>,<レビュー>
世界最速最多 ChatGPT APIを5つの主要DXプロダクトに導入。デモ版無料公開中	<社会統計>,<利用・採用>,<イベント>,<実験>	<イベント>,<技術>,<社会>
究極の”真”ARグラス「RayNeo X2」、米CESでも大きな話題。中国「雷鳥創新」、双眼フルカラー実現（36Kr Japan）	<レビュー>,<技術開発>	<技術>,<レビュー>
次世代半導体材の研究開発を加速、三菱ケミカルグループが一手 ニュースイッチ by 日刊工業新聞社	<戦略>,<方針>	
EV急増で充電問題どうなる!? 家庭用の普通充電器は販売好調！ 高出力な急速充電器の課題とは？（くるまのニュース）	<商品化>,<レビュー>,<社会問題>	<製品サービス>,<社会>,<レビュー>
「よそ見したら死ぬ」…商用化に奔走する企業 [KWレポート] 火がついたAI開発競争 (7)	<レビュー>,<レポート>	<レビュー>,<レポート>
ホンダが燃料電池モジュールのプロトタイプを披露。自社製品以外にも外販を予定【第19回 FC EXPO水素・燃料電池展】	<情報公開>,<戦略>	
新プラ素材、微生物が生成　エコ食器普及に弾み・大阪 - 日本経済新聞	<技術開発>,<市場動向>	<技術>
工場でのCO2回収や水素の活用はスモールスタートから、デンソーの提案（MONOist）	<提案>,<業界情報>	<オピニオン>
二酸化炭素を閉じ込める「バイオプラスチック」が環境に及ぼす影響とは？	<コラム>	<オピニオン>
いよいよ性能を上げまくっている「ジェネラティブＡＩ」が、人間の「内面」をボロボロにしてしまいそうな理由（現代ビジネス）	<レビュー>	<レビュー>
【ビジネス解読】ＥＶの進化に〝落とし穴〟　先端技術に軍事利用のリスク	<レビュー>,<障害>	<社会>,<レビュー>
「充電ナシ」で走り続けるEV！？ 東大院が生み出した新技術で、いよいよ爆速普及にリーチか？ | Merkmal（メルクマール）	<技術開発>	<技術>
EVシフト幻想から覚めた欧州、現実解は合成燃料と一体の「ハイブリッドシフト」	<技術動向>	<技術>,<オピニオン>
韓国でEV車の販売が激減、一体なぜ？＝ネット「EVを買う人はおかしい」	<コラム>	<オピニオン>
次世代太陽電池「ペロブスカイト」を駅で実証、実用化へ次のステップは？ ニュースイッチ by 日刊工業新聞社	<コラム>	<オピニオン>
急な発表「トヨタEV優先」の作戦、世界はどう見るか？（Forbes JAPAN）	<見解>,<コラム>	<オピニオン>
なぜ!? EU連合が2035年「EV以外売らない」宣言！ 欧州が電動車シフトに急ぎ出した「理由」とは（くるまのニュース）	<方針>,<レビュー>	<レビュー>,<目標>
ChatGPTの衝撃、Microsoftが対話AIで描く勝算は？ - 日本経済新聞	<コラム>,<方針>,<市場動向>	<オピニオン>,<目標>
ホンダ、水素事業の取り組みを拡大へ　CR-VベースのFCEVは国内でも発売へ |  財経新聞	<設備投資>,<目標>,<商品化>	<製品サービス>,<目標>
丸紅がEV廃電池のリサイクル参画、希少金属の再生材料を安定供給へ ニュースイッチ by 日刊工業新聞社	<業界情報>,<利用・採用>,<目標>	<技術>,<目標>
「全製品バイオマス化」を目指す。三井化学と帝人が挑戦する、真に持続可能な社会とは	<方針>,<目標>,<コラム>	<オピニオン>,<目標>
中国車載電池大手CATL、トーヨーカラーが開発した新材料を採用　24年に搭載予定（36Kr Japan）	<利用・採用>	<技術>
淡水化も精製も不要——海水から直接水素を製造する安価な手法を開発 | fabcross	<技術開発>	<技術>
温室ガス削減量を売買「カーボンクレジット」　企業が続々参入する3000億円市場の中身	<レビュー>	<レビュー>
【CO2回収技術】BASF、日本初の国産天然ガスを用いたブルー水素・アンモニア製造実証試験に貢献	<技術開発>,<説明>	<技術>,<レビュー>
「なぜ日本人は社会に出ると学ぶことをやめるのか？」海外の経営者が疑問を抱く理由（ダイヤモンド・オンライン）	<レビュー>	<レビュー>
「ペロブスカイト太陽電池」を都心の建物外壁に、実証実験が始まる ニュースイッチ by 日刊工業新聞社	<実験>	<技術>
ＡＩブーム再燃「チャットＧＰＴ」が問う人間の価値 ニュースイッチ by 日刊工業新聞社	<レビュー>	<レビュー>
【実践】新規事業の成功率を、格段に引き上げる方法とは	<方針>,<レビュー>	<レビュー>,<目標>
「機が熟したいま、EVファーストで」  【トヨタ】佐藤次期社長が事業変革を表明	<方針>	
ポリカーボネート樹脂ケミカルリサイクルの世界初の事業化に向けた検討開始について	<方針>,,<レビュー>	<レビュー>,<目標>
次なるテクノロジーの波はメタバースではない　「ジェネレーティブAI」の大波がやってくる（1/3ページ）	<コラム>	<オピニオン>
【山口】西村経済産業大臣がアンモニア導入を計画する周南コンビナート視察（ＫＲＹ山口放送）	<政府・宣言>,<戦略>,<政府・会談>	<政策>,<目標>
NEDOなどが廃熱利用の発電を大きく効率化する新技術　25年度ごろの実用化目指す | 電波新聞デジタル	<技術開発>,<時制.未来>	<技術>,<目標>
家庭用コンセントで充電できる「１人乗り超小型EV」の実力値 ニュースイッチ by 日刊工業新聞社		
複数のAIモデル活用で製造業のDXを促進、技術情報の価値最大化を図るサービス開始：製造現場向けAI技術	<技術開発>,<サービス開始>,<生産活動>	<技術>,<製品サービス>
再エネとメタン直接改質でターコイズ水素製造 コスモ／戸田工業、素材技術でＣＣＵＳ応用も - 石油通信社のブログ	<生産活動>,<技術開発>	<技術>,<製品サービス>
「トップレベルで仕事がデキる人」に共通する、3つの思考階段とは？（ダイヤモンド・オンライン）	<コラム>	<オピニオン>
ごみ処理施設、CO2分離回収を実証へ　郡山市と川崎重工が連携	<実験>,<目標>,<提携>,<政府・宣言>	<技術>,<政策>,<提携>,<目標>
名古屋大と名大発ベンチャーのミサリオ、温めると縮む新材料「ピロリン酸亜鉛マグネシウム」微粒子化に成功（日刊自動車新聞） | 自動車情報サイト【新車・中古車】 - carview!	<技術開発>	<技術>
【新成長戦略】電気設備と3つの電池で、サステナブルな未来をつくる	<戦略>,<経済>,<コラム>	<オピニオン>,<目標>
水と油、超音波で混合 信州大教授が新手法開発 乳化剤使わず環境負荷軽減	<技術開発>	<技術>
「何歳になっても老け込まない人」の時間の使い方の特徴とは？	<レビュー>	<レビュー>
東大と大阪公立大、界面を制御して高性能な有機無機ハイブリッド材料を実現	<技術開発>	<技術>
【微生物で発電】小腸で発電する微生物燃料電池を開発したぞ｜parton｜note	<技術開発>	<技術>
ニュース：凸版印刷、チェコに透明バリアフィルム生産拠点を新設	<設備投資>	
東北大学、多様な機能をシームレスに集積化した微細カテーテルの開発に成功	<技術開発>	<技術>
東工大発新興がアンモニア製造実証、新触媒で低温・低圧実現	<生産活動>,<技術開発>	<技術>,<製品サービス>
日本企業に広がる｢CO2実質ゼロLNG｣が抱える課題	<業界情報>,<レビュー>,<社会問題>	<社会>,<レビュー>
半固体電池、量産の幕開け　京セラなど要素技術を確立 - 日本経済新聞	<技術開発>,<市場動向>	<技術>
ChatGPT x MLOps（AI自律学習システム）、AI議事録「CalqTalk」にて実証実験開始	<実験>	<技術>
温暖化対策で注目のCO2回収テクノロジー｢DAC｣　世界最大規模のプラントが続々と稼働するワケ	<設備投資>,<生産活動>,<レビュー>	<製品サービス>,<レビュー>
議事録生成AI「CalqTalk」の更なる飛躍: OpenAIのChatGPTとWhisperで高速高精度化	<技術開発>	<技術>
車樹脂部品、再生に参入 - 日本経済新聞	<業界情報>,<市場動向>	
タービン発電機の全損失５％超低減、三菱電機が開発したスゴい絶縁技術 ニュースイッチ by 日刊工業新聞社	<効果>,<技術開発>	<技術>
分解して分かったテスラModel 3の際立つ独自設計	<技術開発>	<技術>
中央大・日大・金沢大など、「過去最高の物理吸収量を持つCO2吸収液（イオン液体）の理論設計とその迅速具現化」に成功 - 日本経済新聞	<技術開発>,<市場動向>	<技術>
世界最大手の車載電池メーカーCATLにLiB用材料が採用	<利用・採用>	<技術>
【おしぼり自動展開ロボットの共同開発】AI活用で検品・除外を実現、地方工場のDX化で人手不足の解消へ	<技術開発>,<目標>	<技術>,<目標>
産業用一転…ゲームに引き合い、「触覚」再現する鉄の流体の正体 ニュースイッチ by 日刊工業新聞社	<レビュー>	<レビュー>
ＥＶ使用済み蓄電池、リユース応用製品拡大／フォーアールエナジー | 電気新聞ウェブサイト	<業界情報>,<方針>	
太陽電池の発電効率2倍に成功、広島大学が有機半導体を高結晶化 ニュースイッチ by 日刊工業新聞社	<技術開発>	<技術>
ChatGPTを3カ月使い倒してわかった！ 仕事で活用する5つのコツと注意点 #TrendBuzz（ライフハッカー・ジャパン）	<コラム>	<オピニオン>
「評価される人」と「評価されない人」の決定的な違いとは？	<表彰>,<レビュー>	<レビュー>
「成果をだす人」が絶対に採用しない“ルール”ーー真面目なリーダーほど陥る「士気爆下げ」の危険（東洋経済オンライン）	<人事>,<利用・採用>,<障害>	<技術>,<社会>
大型ガスタービンにおけるアンモニア専焼技術を2030年までに共同開発	<技術開発>	<技術>
汗の成分を検出するファイバーを織り込んだ衣類用生地を開発：医療機器ニュース	<技術開発>	<技術>
100％植物由来のバイオプラを販促用品向けで展開、高い流動性で成形性に優れる	<業界情報>,<方針>	
「サメ肌」技術で抵抗減らす　JALやJAXAなど研究　ニコンは半導体技術で | 電波新聞デジタル	<技術開発>,<研究>	<技術>
シリコンを用いた水分解による低コスト水素燃料生成	<技術開発>	<技術>
高機能プラ、低温で分子レベルのリサイクル　産総研	<技術開発>	<技術>
太陽電池セル世界大手が日本でパネル発売へ | 太陽光発電の専門メディア　PVeyeWEB	<商品化>,<目標>	<製品サービス>,<目標>
九州大ら、グラフェンデバイスの特性を大きく向上	<技術開発>	<技術>
人とロボットの協働作業をデジタルツイン化、トヨタが実証実験に協力：FAニュース	<技術開発>,<提携>	<技術>,<提携>
UBEがガス分離膜の製造設備を増設、生産能力が1.8倍に		
ChatGPT「知能の相転移へ」「AIの転換期」…識者分析 - 日本経済新聞	<業界情報>,<研究>,<市場動向>	<技術>
三井化学と三菱ガス化学がバイオマスポリカーボネート製品の生産と販売を開始	<サービス開始>,<商品化>,<生産活動>	<製品サービス>
脱・温暖化その手法 第52回　―ほとんどのエネルギーの源は太陽からー	<レビュー>,<イベント>	<イベント>,<レビュー>
大阪ガス、30年にCO2から都市ガス　豪州で生産し輸出 - 日本経済新聞	<生産活動>,<市場動向>	<製品サービス>
自動車向け半導体需要は今後10年で倍増する（ニュースイッチ）	<業界情報>	
豊田合成・東海理化…トヨタ系部品メーカーの新規事業が成長軌道に乗り始めた！ ニュースイッチ by 日刊工業新聞社	<戦略>	
溶媒不要の化学反応、新触媒で収率50倍　北海道大学 - 日本経済新聞	<技術開発>,<市場動向>	<技術>
SVP注目市場分析 「セルロースナノファイバー」を公開	<市場動向>,<イベント>	<イベント>
ＮＥＣが担当、経産省が「次世代ＤＣプロジェクト」の開発を中止する背景事情 ニュースイッチ by 日刊工業新聞社	<サービス終了>,<レビュー>	<製品サービス>,<レビュー>
睡眠脳波のAI診断の前に立ちふさがる「グレーな教師」データ問題（ナショナル ジオグラフィック日本版）	<レビュー>,<社会問題>	<社会>,<レビュー>
EV向け車載電池｢気がつけば供給過剰｣の衝撃	<レビュー>	<レビュー>
液体でできた微小なレーザ光源の開発に成功 | e.x.press	<技術開発>	<技術>
